Name_of_Ground_Station,x (km),y (km),z (km)
Dubai_UAE,3285.593722,4744.336271,2706.836993
Fairbanks_Alaska_USA,-2299.010749,-1452.475845,5750.177024
Inuvik_Canada,-1630.426861,-1704.773636,5906.039331
Mauritius,3210.097015,5048.988046,-2204.095300
PuntaArenas_Chile, 1310.613579,-3684.028072,-5022.332032
Singapore - x (km),-1523.134774,6191.856130,149.495527
SouthAfrica_Hartebeesthoek, 5084.502806,2670.318010,-2768.750160
Svalbard_Norway, 1258.457117,346.386370,6222.694088
Troll_Antarctica, 1973.827560,87.190498,6044.125713
Troms_Norway, 2103.089417,721.598922,5958.133754
